num_experts,top_k,best_fixed_k,best_fixed_ratio,best_mode,count
8,4,1,0.25,hybrid_transfer,3
8,4,2,0.5,hybrid_transfer,2
8,4,3,0.75,hybrid_transfer,4
8,4,4,1.0,hybrid_transfer,3
16,4,0,0.0,target_dynamic,4
16,4,1,0.25,hybrid_transfer,2
16,4,2,0.5,hybrid_transfer,2
16,4,3,0.75,hybrid_transfer,1
16,4,4,1.0,hybrid_transfer,3
16,6,0,0.0,target_dynamic,1
16,6,1,0.1666666666666666,hybrid_transfer,5
16,6,2,0.3333333333333333,hybrid_transfer,3
16,6,4,0.6666666666666666,hybrid_transfer,1
16,6,6,1.0,hybrid_transfer,2
16,8,0,0.0,target_dynamic,3
16,8,1,0.125,hybrid_transfer,1
16,8,2,0.25,hybrid_transfer,2
16,8,4,0.5,hybrid_transfer,3
16,8,6,0.75,hybrid_transfer,1
16,8,8,1.0,hybrid_transfer,2
32,4,1,0.25,hybrid_transfer,3
32,4,2,0.5,hybrid_transfer,2
32,4,3,0.75,hybrid_transfer,1
32,4,4,1.0,hybrid_transfer,6
32,6,0,0.0,target_dynamic,2
32,6,1,0.1666666666666666,hybrid_transfer,4
32,6,2,0.3333333333333333,hybrid_transfer,1
32,6,4,0.6666666666666666,hybrid_transfer,2
32,6,6,1.0,hybrid_transfer,3
32,8,0,0.0,target_dynamic,3
32,8,1,0.125,hybrid_transfer,3
32,8,2,0.25,hybrid_transfer,2
32,8,6,0.75,hybrid_transfer,1
32,8,8,1.0,hybrid_transfer,3
