num_experts,top_k,fixed_k,fixed_ratio,mode,mean_acc,std_acc,mean_macro_f1,mean_entropy,num_groups
8,4,0,0.0,target_dynamic,0.5511666668653489,0.06767547366979858,0.5344881508382208,1.5964450413982074,12
8,4,1,0.25,hybrid_transfer,0.5594999994238218,0.07445865246749873,0.5454406085554196,1.627240739762783,12
8,4,2,0.5,hybrid_transfer,0.5588333330551783,0.07029526397388977,0.5476266079981653,1.5378220280011494,12
8,4,3,0.75,hybrid_transfer,0.5689999987483024,0.06854063115791928,0.5530611521708478,1.5474449420968692,12
8,4,4,1.0,hybrid_transfer,0.5599999991456668,0.06308436009546589,0.5463281215965009,1.8517309899131458,12
16,4,0,0.0,target_dynamic,0.5659999985098839,0.06836798697908791,0.5599082996219241,2.1558215022087097,12
16,4,1,0.25,hybrid_transfer,0.5573333313663801,0.06852382702078424,0.5510184072721374,2.137529102464517,12
16,4,2,0.5,hybrid_transfer,0.5626666653951009,0.06945153163771701,0.5518572290461157,2.211623174448808,12
16,4,3,0.75,hybrid_transfer,0.5623333323200543,0.0682925971383552,0.5514936345529858,2.1093385741114616,12
16,4,4,1.0,hybrid_transfer,0.5684999999801318,0.06581585866862423,0.5594519193870121,2.5767552902301154,12
16,6,0,0.0,target_dynamic,0.5601666664282481,0.07073874225723205,0.548599661147425,2.245443895459175,12
16,6,1,0.1666666666666666,hybrid_transfer,0.567000000278155,0.07069781943447655,0.5595269558437607,2.2264565005898476,12
16,6,2,0.3333333333333333,hybrid_transfer,0.5654999983310699,0.06655756341372326,0.5540353766442718,2.2055972988406816,12
16,6,4,0.6666666666666666,hybrid_transfer,0.5616666661898295,0.07039542029127403,0.5529020682183229,2.2132652550935745,12
16,6,6,1.0,hybrid_transfer,0.5643333334128061,0.06274237779265533,0.5549015804722948,2.5559670825799308,12
16,8,0,0.0,target_dynamic,0.563666666229566,0.07940612803386318,0.5501726180229031,2.308245986700058,12
16,8,1,0.125,hybrid_transfer,0.568333331823349,0.0716041307976535,0.5620967307836646,2.260515814026197,12
16,8,2,0.25,hybrid_transfer,0.5570000003576279,0.06703865973374887,0.5492805728299802,2.285576194524765,12
16,8,4,0.5,hybrid_transfer,0.5751666663686434,0.06978126013095606,0.568888064853484,2.296899512410164,12
16,8,6,0.75,hybrid_transfer,0.5708333350817363,0.06553532466126694,0.5604898547143035,2.2285716955860457,12
16,8,8,1.0,hybrid_transfer,0.5663333331545194,0.0599868684510129,0.5533689963404408,2.5107153157393136,12
32,4,0,0.0,target_dynamic,0.545666665216287,0.06145409922873217,0.5374913884967232,2.864947850505511,12
32,4,1,0.25,hybrid_transfer,0.5621666687528292,0.0725106054100321,0.5532482382835784,2.780560036500295,12
32,4,2,0.5,hybrid_transfer,0.5616666666865349,0.06863782890997093,0.5543911533006839,2.722162052989006,12
32,4,3,0.75,hybrid_transfer,0.5633333344459533,0.06937295011657292,0.5562576200016537,2.597420578201612,12
32,4,4,1.0,hybrid_transfer,0.574166667620341,0.06323669024186349,0.5707473989234987,3.3469805469115577,12
32,6,0,0.0,target_dynamic,0.5583333332339923,0.057034811332358104,0.5506194999443133,2.886665607492129,12
32,6,1,0.1666666666666666,hybrid_transfer,0.5558333332538604,0.06972912859663317,0.5463016052741024,2.8937538464864097,12
32,6,2,0.3333333333333333,hybrid_transfer,0.5549999983906746,0.05970533842945724,0.5496056845653264,2.8898247331380844,12
32,6,4,0.6666666666666666,hybrid_transfer,0.5561666654745737,0.05528411583483942,0.5465806612159089,2.7914384454488754,12
32,6,6,1.0,hybrid_transfer,0.5696666665673256,0.05771927938287237,0.5650540771883977,3.3361088881889978,12
32,8,0,0.0,target_dynamic,0.5634999993046125,0.06648649930197817,0.5575682221217001,2.9833213140567145,12
32,8,1,0.125,hybrid_transfer,0.5581666647791862,0.06340896499421282,0.5505530968120395,2.9527304768562317,12
32,8,2,0.25,hybrid_transfer,0.5615000003178915,0.06622894198200943,0.5527355977943539,2.929202983776728,12
32,8,4,0.5,hybrid_transfer,0.5565000002980233,0.06234289370261858,0.5478831691032028,2.9365306347608566,12
32,8,6,0.75,hybrid_transfer,0.5574999978939692,0.05487257990671821,0.5439098884368955,2.890595262249311,12
32,8,8,1.0,hybrid_transfer,0.5683333336512247,0.05427762626922101,0.5632967411409294,3.300712744394938,12
