num_experts,top_k,fixed_k,fixed_ratio,mean_delta,std_delta,win_rate,num_runs
8,4,1,0.25,0.0083333325584729,0.02541056822891831,0.75,12
8,4,2,0.5,0.007666666189829475,0.020410928806475742,0.5833333333333334,12
8,4,3,0.75,0.01783333188295361,0.017877527456172937,0.8333333333333334,12
8,4,4,1.0,0.008833332280317924,0.015596234240294566,0.5833333333333334,12
16,4,1,0.25,-0.008666667143503807,0.03228659349193695,0.3333333333333333,12
16,4,2,0.5,-0.003333333114782955,0.027585675211480202,0.3333333333333333,12
16,4,3,0.75,-0.0036666661898294914,0.02468467562387966,0.4166666666666667,12
16,4,4,1.0,0.002500001470247896,0.01718614586280011,0.5833333333333334,12
16,6,1,0.1666666666666666,0.006833333849906901,0.022953841217694344,0.6666666666666666,12
16,6,2,0.3333333333333333,0.005333331902821867,0.02094726660728878,0.5,12
16,6,4,0.6666666666666666,0.0014999997615814248,0.02215851924861377,0.6666666666666666,12
16,6,6,1.0,0.0041666669845581,0.021548395939142085,0.5833333333333334,12
16,8,1,0.125,0.004666665593783064,0.018376535488716594,0.5,12
16,8,2,0.25,-0.006666665871938075,0.028873810474525648,0.4166666666666667,12
16,8,4,0.5,0.011500000139077466,0.01718614739699652,0.6666666666666666,12
16,8,6,0.75,0.0071666688521703,0.023486297121750987,0.6666666666666666,12
16,8,8,1.0,0.0026666669249534336,0.030976042691803436,0.5833333333333334,12
32,4,1,0.25,0.016500003536542227,0.03228424838200056,0.75,12
32,4,2,0.5,0.0160000014702479,0.029307151368565428,0.5,12
32,4,3,0.75,0.01766666922966634,0.026241306170131064,0.8333333333333334,12
32,4,4,1.0,0.02850000240405395,0.021116559460088148,1.0,12
32,6,1,0.1666666666666666,-0.0024999999801317836,0.03106737627579082,0.5,12
32,6,2,0.3333333333333333,-0.003333334843317651,0.030287513581138396,0.5,12
32,6,4,0.6666666666666666,-0.002166667759418492,0.026097141573465432,0.6666666666666666,12
32,6,6,1.0,0.011333333333333327,0.021120148179394962,0.5833333333333334,12
32,8,1,0.125,-0.005333334525426232,0.028429603525520073,0.5,12
32,8,2,0.25,-0.0019999989867210497,0.025498664572796065,0.5,12
32,8,4,0.5,-0.006999999006589259,0.023687358144810187,0.4166666666666667,12
32,8,6,0.75,-0.0060000014106432594,0.029455668347455038,0.4166666666666667,12
32,8,8,1.0,0.004833334346612292,0.02418802597520101,0.5,12
